seismeLabel,lieuLabel,paysLabel,date,nombreMorts,nombreBlesse,description
tremblement de terre d'Ishikawa en 2023,Suzu,Japon,2023-05-05T00:00:00Z,1,35,"tremblement de terre du 5 mai 2023 au Japon, de magnitude 6,3"
Séisme en Afghanistan en juin 2022,Paktiyâ,Pakistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 2011 dans la province de Van,Van,Azerbaïdjan,2011-10-23T00:00:00Z,604,100,séisme
Séisme en Afghanistan en juin 2022,Q1172701,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q1650508,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q2216027,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q5224216,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 2011 dans la province de Van,Van,Azerbaïdjan,2011-10-23T00:00:00Z,604,4152,séisme
Séisme en Afghanistan en juin 2022,Paktiyâ,Pakistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q1172701,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q1650508,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q2216027,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q5224216,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 1909 en Provence,Provence,France,1909-06-11T00:00:00Z,46,250,séisme de 1909 en France
séisme de 2023 au Maroc,Al Haouz,Maroc,2023-09-08T00:00:00Z,2946,5674,séisme de magnitude 7 au Maroc
Séisme de 2018 à Hokkaidō,sous-préfecture d'Iburi,Japon,2018-09-06T00:00:00Z,37,120,séisme au Japon en 2018
Séisme de 2018 à Hokkaidō,sous-préfecture d'Iburi,Japon,2018-09-06T00:00:00Z,43,120,séisme au Japon en 2018
Séisme de 2018 à Hokkaidō,sous-préfecture d'Iburi,Japon,2018-09-06T00:00:00Z,37,782,séisme au Japon en 2018
Séisme de 2018 à Hokkaidō,sous-préfecture d'Iburi,Japon,2018-09-06T00:00:00Z,43,782,séisme au Japon en 2018
Séisme en Afghanistan en juin 2022,Khôst,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme de 2021 en Haïti,péninsule de Tiburon,Haïti,2021-08-14T00:00:00Z,2207,12268,séisme survenu le 14 août 2021 à Haïti
Séisme en Afghanistan en juin 2022,Khôst,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Khyber Pakhtunkhwa,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme du 16 septembre 2015 au Chili,Illapel,Chili,2015-09-16T00:00:00Z,14,11,"séisme de magnitude 8,3 au centre du Chili en 2015"
Séisme en Afghanistan en juin 2022,Khyber Pakhtunkhwa,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 2016 à Taïwan,Kaohsiung,Taïwan,2016-02-06T00:00:00Z,117,551,séisme qui frappe la partie sud de l'île de Taïwan
Séisme de 2021 en Haïti,Sud,Haïti,2021-08-14T00:00:00Z,2207,12268,séisme survenu le 14 août 2021 à Haïti
séisme de 2011 dans la province de Van,Van,Arménie,2011-10-23T00:00:00Z,10,100,séisme
séisme de 2011 dans la province de Van,Van,Arménie,2011-10-23T00:00:00Z,10,4152,séisme
séisme de 2011 dans la province de Van,Van,Arménie,2011-10-23T00:00:00Z,604,100,séisme
séisme de 2011 dans la province de Van,Van,Arménie,2011-10-23T00:00:00Z,604,4152,séisme
séisme de 2015 au Népal,YR,Bangladesh,2015-04-25T00:00:00Z,8964,21952,série de séismes en 2015 en Asie du Sud
